Designator,Footprint,Quantity,Value,LCSC Part #
25MHZ1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,25MHz-X503225MSB4SI,
3V1,TestPoint_Pad_1.5x1.5mm,1,3v3,
3V3REG1,SOIC8_3P9X4P9_ONS,1,NCV891330PD33R2G,
5V1,TestPoint_Pad_1.5x1.5mm,1,5V,
5VREG1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,ADP2303ARDZ-5.0,
BMI088,PQFN50P450X300X100-16N,1,BMI088,
BMP390,10LGA_2X2X0p75_BOS,1,BMP390,
"BOOT0, NRST1",SW_OS102011MS2QN1,2,OS102011MS2QN1,
BT1,cr 2032 holder,1,CR-2032,
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,
"C1, C19, C2, C23, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C49, C52",0805,21,100nF,
"C10, C12, C28, C31, C8, C9",0805,6,10 uF,
"C11, C6, C7",0805,3,.1 uF,
C13,0805,1,0.1 uF,
C14,0805,1,47 uF,
C15,0805,1,1 uF,
"C16, C17, C27",0805,3,1uF,
"C18, C22",0805,2,10uF,
"C20, C21",0805,2,12pF,
"C3, C4",0805,2,100 nF,
"C30, C48",0805,2,2.2uF,
C32,0805,1,47pF,
C5,0805,1,4.7 uF,
C51,CP_Elec_4x5.4,1,1uF,
C53,0805,1,2.2 uF,
CR1,DIODE_DO214AA_MBRS,1,SSB43L-E3/52T,
D1,0805,1,GREEN-3v3,
D16,0805,1,B-STATUS3,
D17,0805,1,R-STATUS4,
D2,0805,1,RED-5V,
"D3, D5",D_SMA,2,B150-E3,
D4,0805,1,YELLOW,
D6,0805,1,G-STATUS1,
D7,0805,1,O-STATUS2,
FB1,0805,1,2.66,
FB2,0603,1,FCM1608KF-601T05,
IC2,QFP50P2600X2600X160-176N,1,STM32H755IIT6,
"J10, J7",PinSocket_2x10_P2.54mm_Vertical,2,Conn_02x10_Top_Bottom,
J2,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
J3,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,XT60-M,
"J5, J6",SMA_Amphenol_901-143_Horizontal,2,Conn_Coaxial,
L1,IND_NRS5030_TAY,1,3.3 uH,
L2,IND_NR6028T4R7M,1,NR6028T4R7M,
M1,PinHeader_1x03_P2.54mm_Vertical,1,SERVO1,
M2,PinHeader_1x03_P2.54mm_Vertical,1,SERVO2,
M3,PinHeader_1x03_P2.54mm_Vertical,1,SERVO3,
M4,PinHeader_1x03_P2.54mm_Vertical,1,SERVO4,
M5,PinHeader_1x03_P2.54mm_Vertical,1,SERVO5,
MAX-M10S1,ublox_MAX,1,MAX-M10S,
NRST2,TestPoint_Pad_1.5x1.5mm,1,NRST,
"R1, R12, R14, R15, R5, R6",0805,6,10k,
"R10, R11, R8, R9",0805,4,4.7k,
"R13, R3",0805,2,100,
R16,0805,1,33,
"R17, R18, R19, R20, R4",0805,5,200,
"R2, R29",0805,2,100k,
"R21, R22, R23",0805,3,0 ,
R28,0805,1,1M,
R7,0805,1,47,
RFM95W1,HOPERF_RFM9XW_SMD,1,RFM95W-915S2,
S1,TestPoint_Pad_1.5x1.5mm,1,SERVO1,
S2,TestPoint_Pad_1.5x1.5mm,1,SERVO2,
S3,TestPoint_Pad_1.5x1.5mm,1,SERVO3,
S4,TestPoint_Pad_1.5x1.5mm,1,SERVO4,
S5,TestPoint_Pad_1.5x1.5mm,1,SERVO5,
SWCLK1,TestPoint_Pad_1.5x1.5mm,1,SWCLK,
U1,SOD_16HT1G_ONS,1,BAS16HT1G,
U4,SOT-23-6,1,USBLC6-2SC6,
VBATBKP1,TestPoint_Pad_1.5x1.5mm,1,Vbckp,
W25FLASH1,SON127P800X600X80-9N,1,W25N01GVZEIG_TR,
