Designator,Mid X,Mid Y,Rotation,Layer
25MHZ1,141.775,-94.65,0.0,top
3V3REG1,129.5584,-95.805,0.0,top
5VREG1,128.07,-106.75,270.0,top
BMI088,157.6,-66.4,0.0,top
BMP390,152.0,-110.2126,0.0,top
BOOT0,152.1,-61.9875,90.0,top
BT1,169.207,-113.493,180.0,bottom
BZ1,139.5,-126.0,0.0,top
C1,147.5,-110.0,90.0,top
C10,145.0,-102.5,0.0,top
C11,135.0,-96.5,180.0,bottom
C12,127.5,-108.0,180.0,bottom
C13,134.4625,-107.5,0.0,bottom
C14,130.5,-110.5,180.0,bottom
C15,184.5,-113.5375,90.0,bottom
C16,167.4,-68.9,270.0,top
C17,172.9,-64.2,180.0,bottom
C18,169.9,-69.5,270.0,top
C19,174.0,-112.5,0.0,top
C2,150.5,-107.5,180.0,top
C20,137.725,-96.85,270.0,top
C21,147.0,-96.0,0.0,top
C22,143.5,-149.5,180.0,bottom
C23,125.6625,-79.8,0.0,top
C27,145.0,-100.0,0.0,top
C28,139.9625,-109.5,0.0,bottom
C3,159.2,-61.4,90.0,top
C30,170.225,-108.2875,270.0,top
C31,134.5,-110.0,180.0,bottom
C32,183.4,-65.19,0.0,top
C33,166.0,-108.5,270.0,top
C34,136.4625,-89.0,0.0,top
C35,136.4625,-86.5,0.0,top
C36,179.5,-91.0,0.0,top
C37,160.5,-76.0,90.0,top
C38,172.5,-79.4625,270.0,bottom
C39,163.5,-77.5,180.0,top
C4,156.3,-61.4375,90.0,top
C40,179.5,-84.5,180.0,bottom
C41,152.5,-76.0,90.0,top
C42,147.5375,-93.5,180.0,top
C43,136.4625,-84.0,0.0,top
C44,180.0,-97.5,0.0,top
C45,148.5,-104.5,270.0,top
C46,147.5,-84.0,180.0,top
C47,147.5,-87.5,180.0,top
C48,175.5,-79.5,180.0,bottom
C49,179.9625,-95.0,0.0,top
C5,129.4625,-94.0,180.0,bottom
C51,144.5,-114.15,90.0,top
C52,150.9625,-114.5,0.0,top
C53,155.0,-75.9625,270.0,top
C6,129.5,-97.5,180.0,bottom
C7,134.9625,-92.0,180.0,bottom
C8,144.0,-107.9625,270.0,top
C9,145.0375,-105.0,0.0,top
CR1,134.5,-102.0,90.0,top
D1,130.0,-114.5,180.0,top
D16,184.475,-103.0,180.0,top
D17,184.475,-99.96,180.0,top
D2,129.95,-117.0,0.0,top
D3,141.0,-68.5,0.0,top
D4,152.475,-69.0,0.0,top
D5,129.5,-88.6,0.0,top
D6,184.475,-109.08,180.0,top
D7,184.475,-106.04,180.0,top
FB1,183.51,-67.23,180.0,top
FB2,136.2125,-77.0,0.0,top
IC2,163.4,-92.2,0.0,top
J10,168.36,-142.24,0.0,top
J2,127.1,-67.5,270.0,top
J3,139.7,-61.2,0.0,top
J5,127.46,-139.0,0.0,top
J6,182.49,-76.39,180.0,top
J7,161.21,-142.24,0.0,top
L1,139.725,-103.35,270.0,top
L2,136.0,-112.5,0.0,top
M1,177.515,-119.2,270.0,top
M2,177.515,-123.85,270.0,top
M3,177.515,-128.5,270.0,top
M4,177.515,-133.15,270.0,top
M5,177.515,-137.8,270.0,top
MAX-M10S1,174.5,-62.0,0.0,top
NRST1,163.9,-61.9875,90.0,top
R1,124.0,-88.5,90.0,top
R10,155.5,-89.0,0.0,bottom
R11,155.5,-92.0,0.0,bottom
R12,149.0,-68.5,90.0,top
R13,152.5,-71.5,0.0,top
R14,125.7,-82.0,0.0,top
R15,132.0,-77.5,0.0,top
R16,183.37,-62.89,0.0,top
R17,180.275,-107.705,180.0,top
R18,180.275,-105.195,180.0,top
R19,180.275,-102.685,180.0,top
R2,124.5,-111.5,270.0,top
R20,180.275,-100.175,180.0,top
R21,136.5,-91.5,180.0,top
R22,124.95,-102.59,0.0,top
R23,142.5,-71.5,0.0,top
R28,157.825,-110.35,270.0,top
R29,160.025,-110.35,270.0,top
R3,125.475,-114.5,0.0,top
R4,125.475,-117.01,0.0,top
R5,175.0,-114.8,180.0,top
R6,160.5,-116.95,90.0,top
R7,144.425,-90.35,180.0,top
R8,159.5,-83.5,90.0,bottom
R9,156.55,-83.5,90.0,bottom
RFM95W1,141.0,-144.5,270.0,top
U1,129.7287,-91.7,180.0,top
U4,133.9625,-68.05,0.0,top
W25FLASH1,166.895,-116.595,0.0,top
